ID,SET_NUM,GENDER,AGE_RANGE,OCCUPATION,FIELD_OF_EDUCATION,HOMETOWN,MARITAL_STATUS,SPOUSE_WILLING,SPOUSE_OCCUPATION,PREF_RENT,PREF_HOMETOWN,PREF_SCHOOL,PREF_SPOUSE,PREF_SECURITY,ANSWER_1,ANSWER_2,ANSWER_3,datesubmitted
22,1,Female,20-25,Student,"Medical, Biological or Chemical studies","Narail ",Unmarried,I am not Married,I am not Married,4,2,1,3,5,3,3,4,2020-09-25T07:54:54.7030000
23,2,Female,20-25,Student,Business Field,Dhaka,Unmarried,I am not Married,I am not Married,5,4,4,5,5,2,3,2,2020-09-25T07:56:31.9030000
24,2,Male,20-25,Engineering and IT,Engineering and IT,"Mohammadpur, Dhaka",Unmarried,I am not Married,I am not Married,5,4,1,1,4,4,2,4,2020-09-25T07:57:08.9730000
25,3,Male,26-30,Student,Engineering and IT,"Faridpur, Dhaka",Unmarried,I am not Married,I am not Married,5,1,5,5,5,2,4,5,2020-09-25T08:02:47.4700000
26,4,Male,20-25,Student,Business Field,"Kaliganj,Lalmonirhat ",Unmarried,I am not Married,I am not Married,4,2,4,5,5,3,2,5,2020-09-25T08:04:33.7330000
27,5,Female,20-25,Student,"Medical, Biological or Chemical studies",B.baria,Unmarried,I am not Married,I am not Married,3,2,4,4,4,1,4,5,2020-09-25T08:06:56.4230000
28,5,Male,20-25,Student,Business Field,"Chandpur ",Unmarried,I am not Married,I am not Married,2,2,2,1,2,1,3,4,2020-09-25T08:07:03.9800000
29,6,Male,26-30,Engineering and IT,Engineering and IT,"Mymensingh ",Married,My Spouse Does Not Work,Other,1,2,5,1,1,5,5,2,2020-09-25T08:18:30.7970000
30,7,Male,20-25,"Business Field (Management, HR, Banking, Marketing etc)",Business Field,Laksmipur,Unmarried,I am not Married,I am not Married,1,1,5,5,5,3,4,5,2020-09-25T08:22:36.1300000
31,7,Female,20-25,Student,"Medical, Biological or Chemical studies","Shariatpur ",Unmarried,I am not Married,I am not Married,5,3,4,3,5,1,2,4,2020-09-25T08:22:40.6300000
32,8,Female,20-25,Student,Business Field,feni,Unmarried,I am not Married,I am not Married,2,1,5,5,5,1,5,2,2020-09-25T08:23:21.6300000
33,8,Male,20-25,Student,Engineering and IT,Tangail,Unmarried,I am not Married,I am not Married,3,3,5,4,5,1,3,3,2020-09-25T08:24:29.4900000
34,9,Male,20-25,Student,Engineering and IT,Comilla,Unmarried,I am not Married,I am not Married,4,4,5,5,5,3,4,2,2020-09-25T08:33:37.1000000
35,10,Male,20-25,Student,Business Field,Dhaka,Unmarried,I am not Married,I am not Married,4,5,1,4,5,1,2,4,2020-09-25T08:39:48.2730000
36,10,Male,20-25,Student,Engineering and IT,Dhaka,Unmarried,I am not Married,I am not Married,4,3,3,4,5,2,3,4,2020-09-25T08:40:06.9770000
37,11,Female,20-25,Student,Business Field,"Munshiganj ",Unmarried,I am not Married,I am not Married,4,1,3,5,5,2,3,4,2020-09-25T08:42:56.9130000
38,11,Male,20-25,Engineering and IT,Engineering and IT,Gazipur,Unmarried,I am not Married,I am not Married,5,3,5,5,5,1,3,5,2020-09-25T08:43:14.4630000
39,11,Male,20-25,Student,Engineering and IT,Chittagong,Unmarried,I am not Married,I am not Married,4,1,4,1,5,1,3,5,2020-09-25T08:43:38.6370000
40,12,Male,20-25,Student,Business Field,Gazipur,Unmarried,I am not Married,I am not Married,5,3,5,5,5,1,3,5,2020-09-25T08:44:56.4770000
41,13,Male,20-25,Unemployed,Business Field,Dhaka,Unmarried,I am not Married,I am not Married,2,3,2,2,3,3,1,3,2020-09-25T08:48:39.4930000
42,14,Male,20-25,Student,Engineering and IT,"Chittagong ",Unmarried,I am not Married,I am not Married,4,3,4,1,4,2,3,4,2020-09-25T08:49:28.3870000
43,15,Female,20-25,Student,Business Field,"Rajshahi ",Unmarried,I am not Married,I am not Married,5,5,5,5,5,1,4,5,2020-09-25T08:50:27.0330000
44,15,Female,20-25,Student,"Medical, Biological or Chemical studies",Khulna,Unmarried,I am not Married,I am not Married,5,4,4,2,5,1,3,4,2020-09-25T08:51:29.5900000
45,16,Female,20-25,Student,Business Field,Feni,Unmarried,I am not Married,I am not Married,3,3,5,3,2,3,5,3,2020-09-25T08:52:08.2770000
46,17,Male,20-25,Unemployed,Business Field,Shariatpur,Unmarried,I am not Married,I am not Married,4,1,4,4,5,1,3,5,2020-09-25T09:00:29.5600000
47,18,Male,20-25,Student,Business Field,"Badda, Dhaka",Unmarried,I am not Married,I am not Married,5,5,5,5,5,1,1,5,2020-09-25T09:04:48.9430000
48,19,Female,26-30,"Academia (Teacher, Lecturer, Assistant/ Associate Professor, Professor)",Engineering and IT,Lakhsmipur,Married,No,Engineering and IT,5,5,4,5,5,1,1,5,2020-09-25T09:08:40.3630000
