age,gender,occupation,education,hometown,marital status,spouse moving status,spouse employment status,security,schooling,house rent,distance from HT,satisfaction
41 or above,female,Student,Social,"Kushtia,77",Married,Yes,Social,0.66,1.0,0.66,0.66,4.0
41 or above,female,Student,Social,"Kushtia,77",Married,Yes,Social,0.66,0.66,0.33,0.33,3.0
41 or above,female,Student,Social,"Kushtia,77",Married,Yes,Social,0.66,0.33,1.0,1.0,5.0
41 or above,male,Student,Business,"Faridpur,304",Unmarried,not married,I am not married,1.0,0.33,1.0,1.0,5.0
41 or above,male,Student,Business,"Faridpur,304",Unmarried,not married,I am not married,0.33,1.0,0.66,0.33,4.0
41 or above,male,Student,Business,"Faridpur,304",Unmarried,not married,I am not married,0.33,0.33,1.0,0.33,4.0
31 - 35,prefer not to disclose,Other,Science,"Gaibandha,158",Unmarried,not married,I am not married,1.0,1.0,0.66,1.0,5.0
31 - 35,prefer not to disclose,Other,Science,"Gaibandha,158",Unmarried,not married,I am not married,0.66,0.33,0.66,0.33,4.0
31 - 35,prefer not to disclose,Other,Science,"Gaibandha,158",Unmarried,not married,I am not married,0.66,0.33,0.33,1.0,3.0
36 - 40,prefer not to disclose,Other,Social,"Cox's Bazar,414",Unmarried,not married,I am not married,0.66,0.33,0.33,1.0,3.0
36 - 40,prefer not to disclose,Other,Social,"Cox's Bazar,414",Unmarried,not married,I am not married,0.66,0.66,0.33,1.0,4.0
36 - 40,prefer not to disclose,Other,Social,"Cox's Bazar,414",Unmarried,not married,I am not married,0.33,0.33,0.66,0.66,4.0
20 - 25,prefer not to disclose,Business,Social,"Kurigram,179",Married,Yes,Business,1.0,0.66,0.66,0.66,5.0
20 - 25,prefer not to disclose,Business,Social,"Kurigram,179",Married,Yes,Business,0.33,0.66,0.33,1.0,3.0
20 - 25,prefer not to disclose,Business,Social,"Kurigram,179",Married,Yes,Business,0.33,1.0,1.0,0.66,4.0
26 - 30,prefer not to disclose,Business,Business,"Manikganj,189",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,1.0,0.66,0.66,5.0
26 - 30,prefer not to disclose,Business,Business,"Manikganj,189",Married,Spouce does not work,"Medical, Biological, Chemical",0.66,1.0,1.0,0.33,5.0
26 - 30,prefer not to disclose,Business,Business,"Manikganj,189",Married,Spouce does not work,"Medical, Biological, Chemical",1.0,1.0,1.0,1.0,5.0
20 - 25,female,Academia,Social,"Cox's Bazar,95",Unmarried,not married,I am not married,0.66,0.66,0.33,0.66,3.0
20 - 25,female,Academia,Social,"Cox's Bazar,95",Unmarried,not married,I am not married,0.33,0.33,0.33,0.66,3.0
20 - 25,female,Academia,Social,"Cox's Bazar,95",Unmarried,not married,I am not married,0.33,0.66,0.33,0.33,3.0
20 - 25,female,Student,Business,"Khagrachhari,228",Married,Spouce does not work,Science,0.33,0.33,0.66,0.33,3.0
20 - 25,female,Student,Business,"Khagrachhari,228",Married,Spouce does not work,Science,0.33,1.0,0.66,1.0,4.0
20 - 25,female,Student,Business,"Khagrachhari,228",Married,Spouce does not work,Science,1.0,0.33,0.33,1.0,5.0
20 - 25,prefer not to disclose,Other,Social,"Chuadanga,265",Married,No,Engineering,1.0,0.66,1.0,0.66,5.0
20 - 25,prefer not to disclose,Other,Social,"Chuadanga,265",Married,No,Engineering,0.33,0.66,1.0,0.33,3.0
20 - 25,prefer not to disclose,Other,Social,"Chuadanga,265",Married,No,Engineering,0.33,0.66,1.0,0.66,4.0
31 - 35,prefer not to disclose,Student,Social,"Madaripur,385",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,4.0
31 - 35,prefer not to disclose,Student,Social,"Madaripur,385",Unmarried,not married,I am not married,0.33,0.33,0.66,1.0,3.0
31 - 35,prefer not to disclose,Student,Social,"Madaripur,385",Unmarried,not married,I am not married,0.66,0.66,1.0,1.0,5.0
31 - 35,prefer not to disclose,Student,Social,"Madaripur,135",Unmarried,not married,I am not married,0.33,0.33,0.66,0.33,3.0
31 - 35,prefer not to disclose,Student,Social,"Madaripur,135",Unmarried,not married,I am not married,0.33,1.0,0.66,0.66,4.0
31 - 35,prefer not to disclose,Student,Social,"Madaripur,135",Unmarried,not married,I am not married,0.66,0.66,1.0,0.66,5.0
20 - 25,male,Engineering and IT,Engineering,"Jhenaidah,178",Married,No,Engineering,0.33,0.33,0.66,0.33,3.0
20 - 25,male,Engineering and IT,Engineering,"Jhenaidah,178",Married,No,Engineering,1.0,0.33,1.0,0.66,4.0
20 - 25,male,Engineering and IT,Engineering,"Jhenaidah,178",Married,No,Engineering,0.66,0.33,1.0,0.33,3.0
31 - 35,prefer not to disclose,Business,Business,"Netrokona,344",Unmarried,not married,I am not married,0.33,0.33,1.0,0.66,4.0
31 - 35,prefer not to disclose,Business,Business,"Netrokona,344",Unmarried,not married,I am not married,0.66,1.0,0.33,1.0,4.0
