age,gender,occupation,education,hometown,marital status,spouse moving status,spouse employment status,security,schooling,house rent,distance from HT,satisfaction
41 or above,male,Other,Science,"Rajbari,489",Unmarried,not married,I am not married,1.0,0.33,0.33,1.0,3.0
41 or above,male,Other,Science,"Rajbari,489",Unmarried,not married,I am not married,0.33,1.0,1.0,0.66,5.0
41 or above,male,Other,Science,"Rajbari,489",Unmarried,not married,I am not married,0.33,0.33,0.66,0.33,3.0
41 or above,female,Student,Science,"Rajbari,470",Married,Yes,Business,1.0,0.33,0.66,1.0,5.0
41 or above,female,Student,Science,"Rajbari,470",Married,Yes,Business,0.33,0.66,1.0,0.33,3.0
41 or above,female,Student,Science,"Rajbari,470",Married,Yes,Business,1.0,1.0,1.0,0.33,5.0
26 - 30,female,Other,Science,"Bandarban,228",Unmarried,not married,I am not married,0.66,0.33,1.0,1.0,4.0
26 - 30,female,Other,Science,"Bandarban,228",Unmarried,not married,I am not married,0.33,0.33,0.33,0.66,3.0
26 - 30,female,Other,Science,"Bandarban,228",Unmarried,not married,I am not married,1.0,0.33,0.33,0.66,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Brahmanbaria,283",Married,Yes,Engineering,0.33,0.66,0.33,1.0,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Brahmanbaria,283",Married,Yes,Engineering,0.33,1.0,0.66,1.0,4.0
20 - 25,prefer not to disclose,Medical,"Medical, Biological, Chemical","Brahmanbaria,283",Married,Yes,Engineering,0.33,0.33,0.33,1.0,3.0
41 or above,male,Medical,"Medical, Biological, Chemical","Satkhira,218",Unmarried,not married,I am not married,0.66,0.33,0.66,1.0,4.0
41 or above,male,Medical,"Medical, Biological, Chemical","Satkhira,218",Unmarried,not married,I am not married,1.0,0.66,0.66,0.66,4.0
41 or above,male,Medical,"Medical, Biological, Chemical","Satkhira,218",Unmarried,not married,I am not married,0.66,0.33,1.0,0.66,4.0
41 or above,male,Medical,"Medical, Biological, Chemical","Sirajganj,53",Unmarried,not married,I am not married,0.66,1.0,1.0,1.0,5.0
41 or above,male,Medical,"Medical, Biological, Chemical","Sirajganj,53",Unmarried,not married,I am not married,1.0,0.66,0.66,0.66,4.0
41 or above,male,Medical,"Medical, Biological, Chemical","Sirajganj,53",Unmarried,not married,I am not married,0.66,0.33,1.0,0.66,4.0
31 - 35,female,Engineering and IT,Engineering,"Meherpur,255",Married,Yes,Business,0.33,0.66,1.0,1.0,4.0
31 - 35,female,Engineering and IT,Engineering,"Meherpur,255",Married,Yes,Business,0.66,0.66,1.0,0.66,4.0
31 - 35,female,Engineering and IT,Engineering,"Meherpur,255",Married,Yes,Business,0.66,0.33,0.33,0.33,3.0
41 or above,male,Business,Social,"Chandpur,394",Unmarried,not married,I am not married,1.0,1.0,0.66,0.66,5.0
41 or above,male,Business,Social,"Chandpur,394",Unmarried,not married,I am not married,0.33,0.33,0.33,0.33,3.0
41 or above,male,Business,Social,"Chandpur,394",Unmarried,not married,I am not married,0.33,0.33,0.33,0.66,2.0
41 or above,male,Student,Business,"Kurigram,258",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,4.0
41 or above,male,Student,Business,"Kurigram,258",Unmarried,not married,I am not married,0.33,1.0,0.33,0.66,3.0
41 or above,male,Student,Business,"Kurigram,258",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,3.0
31 - 35,prefer not to disclose,Other,Social,"Bhola,230",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,4.0
31 - 35,prefer not to disclose,Other,Social,"Bhola,230",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
31 - 35,prefer not to disclose,Other,Social,"Bhola,230",Unmarried,not married,I am not married,0.66,1.0,0.66,1.0,5.0
31 - 35,female,Other,Science,"Thakurgaon,110",Unmarried,not married,I am not married,0.33,0.33,1.0,1.0,4.0
31 - 35,female,Other,Science,"Thakurgaon,110",Unmarried,not married,I am not married,0.33,0.33,0.66,0.66,3.0
31 - 35,female,Other,Science,"Thakurgaon,110",Unmarried,not married,I am not married,0.33,0.66,1.0,0.33,4.0
31 - 35,female,Medical,"Medical, Biological, Chemical","Feni,464",Unmarried,not married,I am not married,1.0,0.33,1.0,0.66,5.0
31 - 35,female,Medical,"Medical, Biological, Chemical","Feni,464",Unmarried,not married,I am not married,0.33,0.33,0.66,0.66,3.0
31 - 35,female,Medical,"Medical, Biological, Chemical","Feni,464",Unmarried,not married,I am not married,0.33,0.66,0.33,1.0,3.0
31 - 35,female,Other,Science,"Barguna,337",Married,Yes,Science,1.0,1.0,0.66,0.33,4.0
31 - 35,female,Other,Science,"Barguna,337",Married,Yes,Science,0.33,1.0,0.33,0.66,3.0
31 - 35,female,Other,Science,"Barguna,337",Married,Yes,Science,0.66,1.0,1.0,1.0,5.0
41 or above,male,Medical,"Medical, Biological, Chemical","Sylhet,375",Married,Spouce does not work,Science,0.66,1.0,0.33,0.66,4.0
41 or above,male,Medical,"Medical, Biological, Chemical","Sylhet,375",Married,Spouce does not work,Science,0.66,0.66,1.0,0.33,4.0
41 or above,male,Medical,"Medical, Biological, Chemical","Sylhet,375",Married,Spouce does not work,Science,1.0,0.33,1.0,1.0,5.0
26 - 30,male,Engineering and IT,Engineering,"Narsingdi,239",Unmarried,not married,I am not married,0.66,0.66,1.0,0.33,5.0
26 - 30,male,Engineering and IT,Engineering,"Narsingdi,239",Unmarried,not married,I am not married,0.66,0.66,0.66,1.0,4.0
26 - 30,male,Engineering and IT,Engineering,"Narsingdi,239",Unmarried,not married,I am not married,1.0,0.33,1.0,0.33,5.0
26 - 30,female,Business,Social,"Faridpur,416",Unmarried,not married,I am not married,0.33,0.33,0.33,0.33,2.0
26 - 30,female,Business,Social,"Faridpur,416",Unmarried,not married,I am not married,0.66,0.66,0.33,1.0,4.0
26 - 30,female,Business,Social,"Faridpur,416",Unmarried,not married,I am not married,1.0,0.66,1.0,1.0,5.0
36 - 40,male,Engineering and IT,Engineering,"Natore,225",Married,No,Business,0.33,0.33,1.0,0.33,3.0
36 - 40,male,Engineering and IT,Engineering,"Natore,225",Married,No,Business,1.0,0.66,0.33,1.0,5.0
36 - 40,male,Engineering and IT,Engineering,"Natore,225",Married,No,Business,0.33,1.0,0.66,0.33,4.0
31 - 35,female,Other,Social,"Feni,103",Unmarried,not married,I am not married,1.0,0.66,0.33,1.0,4.0
31 - 35,female,Other,Social,"Feni,103",Unmarried,not married,I am not married,1.0,1.0,1.0,1.0,5.0
31 - 35,female,Other,Social,"Feni,103",Unmarried,not married,I am not married,1.0,0.66,0.66,0.66,4.0
20 - 25,male,Engineering and IT,Engineering,"Rangpur,14",Unmarried,not married,I am not married,0.33,0.33,1.0,1.0,4.0
